2026-02-21 20:11:30,769 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-21 20:11:32,158 | INFO | slixmpp.features.feature_bind.bind | JID set to: gridcoordinator@xmpp.jp/178013434696506980461596857027
2026-02-21 20:11:32,159 | INFO | spade.Agent | Agent gridcoordinator@xmpp.jp connected and authenticated.
2026-02-21 20:11:32,159 | INFO | GridCoordinator | GridCoordinatorAgent starting...
2026-02-21 20:11:32,213 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-21 20:11:32,213 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-21 20:11:35,645 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-21 20:11:37,034 | INFO | slixmpp.features.feature_bind.bind | JID set to: powerplant@xmpp.jp/97708747114004133513048347202
2026-02-21 20:11:37,035 | INFO | spade.Agent | Agent powerplant@xmpp.jp connected and authenticated.
2026-02-21 20:11:40,536 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-21 20:11:44,413 | INFO | slixmpp.features.feature_bind.bind | JID set to: storageagent@xmpp.jp/66067162828623844053048352322
2026-02-21 20:11:44,416 | INFO | spade.Agent | Agent storageagent@xmpp.jp connected and authenticated.
2026-02-21 20:11:44,710 | INFO | GridCoordinator | No event received.
2026-02-21 20:11:44,711 | INFO | spade.behaviour | FSM transiting from MONITORING to MONITORING.
2026-02-21 20:11:44,711 | INFO | spade.behaviour | FSM running state MONITORING
2026-02-21 20:11:44,712 | INFO | GridCoordinator | State: MONITORING - waiting for event
2026-02-21 20:11:47,841 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
2026-02-21 20:11:49,194 | INFO | slixmpp.features.feature_bind.bind | JID set to: consumeragent@xmpp.jp/42974254351592105173048358018
2026-02-21 20:11:49,194 | INFO | spade.Agent | Agent consumeragent@xmpp.jp connected and authenticated.
2026-02-21 20:11:52,650 | INFO | slixmpp.features.feature_mechanisms.mechanisms | Authentication failed: not-authorized
